"","PUBID_1997","KEY_SEX_1997","KEY_BDATE_M_1997","KEY_BDATE_Y_1997","CV_SAMPLE_TYPE_1997","SAMPLING_WEIGHT_CC_1997","CV_HGC_RES_DAD_1997","CV_HGC_RES_MOM_1997","KEY_RACE_ETHNICITY_1997","CV_HIGHEST_DEGREE_EVER_EDT_2017","SAMPLING_WEIGHT_CC_2017","degree_label","race"
"5772",7915,1,10,1984,0,105563,NA,NA,1,2,130382,"HS Diploma","Black"
"5773",7916,1,4,1982,0,91751,NA,12,1,2,119790,"HS Diploma","Black"
"5774",7917,1,10,1983,0,98816,NA,12,1,3,131675,"AA","Black"
"5775",7919,1,7,1980,0,157034,12,12,1,0,212991,"None","Black"
"5776",7920,2,7,1982,0,134914,12,12,1,2,151485,"HS Diploma","Black"
"5777",7923,2,8,1984,0,201276,NA,14,2,2,249538,"HS Diploma","Hispanic"
"5778",7924,2,9,1981,0,199220,NA,NA,2,2,245769,"HS Diploma","Hispanic"
"5779",7925,2,6,1983,0,213306,NA,NA,2,0,270420,"None","Hispanic"
"5780",7926,2,2,1984,0,200605,16,NA,2,2,248707,"HS Diploma","Hispanic"
"5781",7927,2,1,1984,0,247110,NA,13,1,2,298540,"HS Diploma","Black"
"5782",7930,1,8,1983,0,197631,NA,NA,1,2,263350,"HS Diploma","Black"
"5783",7934,1,2,1984,0,211126,12,12,1,4,260764,"BA","Black"
"5784",7935,1,5,1984,0,211126,12,14,1,2,260764,"HS Diploma","Black"
"5785",7936,1,4,1982,0,183501,16,16,1,4,239579,"BA","Black"
"5786",7937,2,10,1984,0,208826,NA,13,1,1,252288,"GED","Black"
"5787",7939,2,9,1983,0,196976,15,12,1,0,250363,"None","Black"
"5788",7940,1,8,1981,0,182782,13,14,1,2,256905,"HS Diploma","Black"
"5789",7942,2,5,1982,0,198803,12,12,1,4,223223,"BA","Black"
"5790",7943,1,3,1981,0,182782,18,13,1,3,256905,"AA","Black"
"5791",7944,1,9,1982,0,183501,18,13,1,3,239579,"AA","Black"
"5792",7945,2,10,1983,0,196976,NA,14,1,5,250363,"MA","Black"
"5793",7946,2,1,1980,0,167168,NA,13,1,2,202417,"HS Diploma","Black"
"5794",7947,2,2,1981,0,206225,NA,13,1,2,246323,"HS Diploma","Black"
"5795",7948,1,7,1983,0,197631,NA,13,1,5,263350,"MA","Black"
"5796",7950,2,10,1980,0,141676,NA,10,1,1,171551,"GED","Black"
"5797",7951,2,4,1983,0,166939,NA,10,1,5,212185,"MA","Black"
"5798",7952,1,5,1984,0,178932,NA,12,1,5,221000,"MA","Black"
"5799",7953,1,10,1980,0,196113,NA,12,1,1,265995,"GED","Black"
"5800",7955,1,3,1981,0,154910,12,12,1,2,217730,"HS Diploma","Black"
"5801",7956,1,9,1983,0,167494,12,12,1,2,223192,"HS Diploma","Black"
"5802",7958,2,11,1981,0,228667,NA,12,1,2,273130,"HS Diploma","Black"
"5803",7960,2,5,1984,0,137127,12,12,1,2,165667,"HS Diploma","Black"
"5804",7961,2,6,1980,0,109772,NA,12,1,1,132919,"GED","Black"
"5805",7962,2,9,1984,0,137127,NA,12,1,2,165667,"HS Diploma","Black"
"5806",7963,1,7,1983,0,129776,NA,12,1,2,172931,"HS Diploma","Black"
"5807",7964,2,6,1983,0,129345,15,NA,1,4,164403,"BA","Black"
"5808",7965,1,3,1980,0,120958,NA,12,1,4,164060,"BA","Black"
"5809",7966,2,6,1983,0,104842,NA,12,1,2,133258,"HS Diploma","Black"
"5810",7967,1,12,1982,0,95921,NA,7,1,2,125235,"HS Diploma","Black"
"5811",7969,1,11,1981,0,97767,13,14,1,2,137414,"HS Diploma","Black"
"5812",7971,1,12,1980,0,123771,NA,16,1,2,167876,"HS Diploma","Black"
"5813",7972,1,12,1980,0,123771,NA,14,1,2,167876,"HS Diploma","Black"
"5814",7973,1,3,1982,0,98152,NA,14,1,1,128147,"GED","Black"
"5815",7977,2,3,1982,0,212594,12,12,2,2,248047,"HS Diploma","Hispanic"
"5816",7978,2,10,1980,0,85076,NA,13,1,2,103016,"HS Diploma","Black"
"5817",7979,2,9,1983,0,100247,NA,15,1,5,127417,"MA","Black"
"5818",7980,2,10,1984,0,106277,NA,12,1,2,128397,"HS Diploma","Black"
"5819",7981,1,1,1980,0,117765,9,12,1,2,159729,"HS Diploma","Black"
"5820",7984,1,3,1982,0,93389,13,10,1,0,121929,"None","Black"
"5821",7985,2,6,1984,0,106277,NA,12,1,2,128397,"HS Diploma","Black"
"5822",7986,2,12,1980,0,85076,NA,11,1,2,103016,"HS Diploma","Black"
"5823",7987,2,3,1982,0,101177,NA,11,1,5,113604,"MA","Black"
"5824",7988,1,12,1983,0,100580,NA,11,1,2,134027,"HS Diploma","Black"
"5825",7989,2,7,1982,0,101177,NA,NA,1,3,113604,"AA","Black"
"5826",7993,1,2,1983,0,100874,NA,6,1,0,134418,"None","Black"
"5827",7994,1,2,1983,0,100874,NA,6,1,1,134418,"GED","Black"
"5828",7995,2,1,1981,0,105260,15,16,1,4,125728,"BA","Black"
"5829",7996,2,8,1982,0,101472,10,16,1,2,113937,"HS Diploma","Black"
"5830",7998,1,9,1981,0,93295,NA,11,1,2,131129,"HS Diploma","Black"
"5831",7999,2,2,1984,0,110984,NA,13,1,1,134083,"GED","Black"
"5832",8000,2,4,1980,0,88844,NA,12,1,1,107578,"GED","Black"
"5833",8001,1,7,1981,0,97143,NA,12,1,0,136537,"None","Black"
"5834",8003,1,5,1980,0,122981,NA,11,1,1,166804,"GED","Black"
"5835",8004,1,9,1983,0,105035,NA,11,1,2,139962,"HS Diploma","Black"
